date,precipitation,pet,temperature,discharge_spec,discharge_vol,peti,humidity,shortwave_rad,longwave_rad,windspeed
1970-10-01,1.28,1.74,11.50,0.04,0.13,2.03,6.37,64.02,341.77,8.12
1970-10-02,0.56,2.01,9.39,0.04,0.12,2.34,5.32,115.62,297.05,10.80
1970-10-03,0.24,2.01,10.31,0.04,0.12,2.28,5.21,101.71,307.47,6.86
1970-10-04,1.67,0.07,11.88,0.04,0.12,0.33,8.99,51.77,350.09,6.92
1970-10-05,0.21,1.28,11.54,0.04,0.13,1.50,7.10,92.83,322.77,7.68
1970-10-06,0.65,1.73,9.07,0.04,0.12,2.01,5.29,99.35,301.30,9.06
1970-10-07,1.27,1.03,8.76,0.04,0.12,1.26,5.76,75.53,316.67,5.56
1970-10-08,0.10,0.81,8.73,0.04,0.13,0.88,5.93,93.88,304.17,3.41
1970-10-09,0.04,0.99,7.60,0.04,0.12,1.04,5.25,111.64,284.02,4.61
1970-10-10,0.01,0.94,9.96,0.04,0.11,0.96,6.18,104.08,300.34,3.49
1970-10-11,1.15,0.33,9.60,0.04,0.11,0.41,7.19,43.60,340.88,3.06
1970-10-12,0.01,0.34,12.28,0.04,0.12,0.35,8.70,60.86,342.14,2.51
1970-10-13,0.12,0.45,11.84,0.03,0.11,0.47,7.52,70.90,331.32,0.97
1970-10-14,0.02,0.30,10.05,0.03,0.10,0.31,7.38,47.76,338.47,1.80
1970-10-15,0.00,0.41,10.94,0.03,0.10,0.41,7.60,46.63,342.79,3.13
1970-10-16,0.00,0.63,10.53,0.03,0.10,0.63,6.68,81.19,313.15,2.56
1970-10-17,0.04,0.89,9.50,0.03,0.09,0.95,5.86,59.17,322.43,4.08
1970-10-18,1.86,1.47,10.60,0.03,0.10,1.79,6.23,36.05,344.68,9.67
1970-10-19,0.03,1.57,8.07,0.03,0.10,1.68,4.95,74.11,298.78,10.18
1970-10-20,0.43,1.50,4.89,0.03,0.10,1.76,3.82,60.18,292.20,11.07
1970-10-21,0.02,1.54,5.81,0.03,0.08,1.60,3.95,58.72,296.49,9.07
1970-10-22,0.00,0.54,8.14,0.03,0.08,0.54,5.89,51.32,318.87,4.21
1970-10-23,0.20,0.86,8.36,0.03,0.08,1.06,5.48,35.85,331.60,4.96
1970-10-24,5.50,0.28,9.98,NaN,NaN,0.41,7.35,33.69,342.50,5.72
1970-10-25,6.04,0.53,10.54,0.06,0.19,0.71,7.19,37.06,341.47,5.63
1970-10-26,0.01,0.99,7.10,0.07,0.21,1.03,4.86,77.00,282.57,6.74
1970-10-27,3.44,0.84,6.13,0.05,0.15,1.02,4.35,30.56,321.03,4.07
1970-10-28,10.09,0.33,6.34,0.05,0.17,0.45,5.44,36.80,318.45,4.13
1970-10-29,2.07,0.30,8.95,0.12,0.37,0.44,6.76,36.82,331.27,5.91
1970-10-30,2.07,0.22,11.26,0.10,0.32,0.36,8.10,42.49,336.73,7.77
1970-10-31,14.92,1.13,11.12,0.44,1.41,1.39,6.60,28.15,348.12,7.05
1970-11-01,0.76,2.21,9.41,0.67,2.12,2.57,4.78,52.12,307.01,11.66
1970-11-02,4.34,0.48,9.47,0.24,0.76,0.64,6.65,27.40,340.08,5.34
1970-11-03,1.59,1.20,8.52,0.19,0.59,1.54,5.50,33.20,326.47,10.02
1970-11-04,4.28,0.66,7.71,0.22,0.70,0.90,5.63,27.95,328.76,6.69
1970-11-05,0.04,1.02,7.11,0.23,0.72,1.11,4.91,55.89,289.34,8.61
1970-11-06,0.00,0.40,5.29,0.17,0.54,0.40,4.49,32.20,308.57,2.86
1970-11-07,0.80,0.33,5.36,0.13,0.42,0.43,4.79,36.93,303.22,3.54
1970-11-08,0.52,0.86,6.69,0.11,0.35,1.16,5.01,29.30,318.06,8.45
1970-11-09,0.01,1.32,7.06,0.10,0.33,1.36,4.63,49.23,290.42,10.45
1970-11-10,1.13,0.92,7.44,0.09,0.28,1.12,4.61,23.52,326.15,4.33
1970-11-11,0.03,0.00,6.75,0.08,0.26,0.00,6.23,23.20,326.72,5.51
1970-11-12,0.27,0.60,4.54,0.08,0.27,0.79,4.25,46.70,279.12,6.56
1970-11-13,0.84,0.53,3.61,0.08,0.25,0.75,3.96,43.72,277.15,5.81
1970-11-14,0.07,0.27,1.82,0.07,0.23,0.32,3.58,36.04,278.46,3.49
1970-11-15,1.71,0.42,1.99,0.07,0.22,0.62,3.53,51.41,255.70,5.65
1970-11-16,0.19,0.00,2.22,0.07,0.22,0.00,4.53,31.86,288.79,4.90
1970-11-17,13.67,0.21,4.04,0.13,0.41,0.31,4.58,11.52,313.20,4.58
1970-11-18,5.88,0.29,4.46,0.82,2.61,0.41,4.47,33.86,291.55,4.34
1970-11-19,0.13,0.16,3.98,0.86,2.73,0.24,4.81,21.45,309.38,6.50
1970-11-20,2.99,0.58,3.11,0.47,1.50,0.77,3.56,27.22,290.53,4.54
1970-11-21,0.16,0.00,3.77,0.45,1.41,0.00,5.10,25.58,301.72,6.80
1970-11-22,2.79,0.30,3.41,0.31,0.98,0.42,4.01,34.72,279.84,4.30
1970-11-23,5.94,0.60,6.85,0.80,2.54,0.85,5.26,10.24,326.90,7.33
1970-11-24,0.03,0.00,8.61,0.77,2.44,0.00,7.35,10.06,337.17,7.12
1970-11-25,0.39,0.28,8.94,0.44,1.41,0.35,6.13,18.12,335.18,2.84
1970-11-26,5.43,0.11,6.65,0.33,1.04,0.14,5.53,17.61,324.47,2.42
1970-11-27,2.41,0.00,7.25,0.64,2.04,0.00,6.34,16.70,329.47,4.73
1970-11-28,3.38,0.00,8.25,1.17,3.69,0.00,6.73,16.93,333.39,4.11
1970-11-29,11.63,0.03,5.98,1.86,5.89,0.04,5.51,9.23,323.70,3.57
1970-11-30,6.50,0.00,5.60,3.37,10.66,0.00,5.62,9.09,322.30,6.73
1970-12-01,0.03,0.50,5.18,1.76,5.58,0.54,4.47,25.42,296.48,5.62
1970-12-02,3.23,0.24,6.17,1.05,3.34,0.36,5.35,8.83,324.21,5.37
1970-12-03,0.35,0.59,4.50,0.95,3.00,0.77,3.99,18.78,304.12,4.51
1970-12-04,2.14,0.20,4.60,0.79,2.50,0.31,4.67,30.57,282.76,5.95
1970-12-05,1.47,0.61,6.25,0.79,2.52,0.90,4.99,23.10,304.86,8.46
1970-12-06,0.65,0.75,5.26,0.70,2.23,1.03,4.29,24.41,294.60,7.23
1970-12-07,0.02,0.31,3.79,0.51,1.61,0.34,4.42,20.72,297.23,6.86
1970-12-08,0.05,0.11,2.54,0.42,1.33,0.12,3.40,33.72,258.66,2.82
1970-12-09,0.01,0.00,3.23,0.38,1.20,0.00,4.20,29.08,275.34,1.87
1970-12-10,0.00,0.00,3.07,0.35,1.12,0.00,4.45,15.57,304.54,1.65
1970-12-11,0.00,0.00,4.04,0.34,1.08,0.00,4.95,14.44,312.22,3.78
1970-12-12,0.00,0.06,4.63,0.32,1.01,0.07,5.05,14.33,314.91,4.41
1970-12-13,0.00,0.17,4.33,0.27,0.84,0.17,4.54,20.90,297.02,4.21
1970-12-14,0.01,0.03,3.48,0.23,0.74,0.04,4.57,14.35,308.33,2.90
1970-12-15,0.01,0.46,3.69,0.21,0.68,0.47,4.03,14.31,307.02,4.71
1970-12-16,0.06,0.22,5.97,0.21,0.65,0.29,5.30,21.03,305.21,6.90
1970-12-17,2.01,0.51,6.45,0.21,0.67,0.74,4.99,24.45,297.76,6.86
1970-12-18,0.07,0.38,7.89,0.20,0.63,0.45,5.83,13.38,331.71,5.09
1970-12-19,2.61,0.14,8.94,0.20,0.63,0.23,6.86,13.91,336.44,7.58
1970-12-20,0.09,0.32,4.82,0.22,0.69,0.43,4.39,31.91,271.78,5.74
1970-12-21,0.77,0.63,2.24,0.21,0.67,0.88,3.29,26.99,267.63,6.37
1970-12-22,2.27,0.53,2.39,0.20,0.64,0.76,3.66,14.67,298.97,6.07
1970-12-23,5.56,0.00,3.68,0.26,0.81,0.00,4.89,15.08,308.06,7.32
1970-12-24,2.66,0.09,2.37,0.59,1.87,0.14,4.21,13.75,303.64,4.14
1970-12-25,4.81,0.44,2.28,0.68,2.15,0.63,3.55,19.69,286.66,5.14
1970-12-26,3.17,0.14,2.26,1.10,3.48,0.25,4.18,18.74,292.19,7.17
1970-12-27,10.47,0.41,1.28,1.40,4.42,0.65,3.55,7.83,298.06,7.11
1970-12-28,6.65,0.16,2.05,3.58,11.33,0.27,4.07,7.88,303.40,6.08
1970-12-29,3.31,0.33,2.64,3.43,10.88,0.58,4.17,14.99,302.57,9.17
1970-12-30,5.34,0.52,1.21,2.17,6.89,0.82,3.42,22.32,277.61,8.66
1970-12-31,0.95,0.18,-0.11,1.38,4.37,0.31,3.35,21.99,273.88,5.94
1971-01-01,0.07,0.27,-0.27,1.05,3.33,0.33,3.02,21.59,271.04,4.39
1971-01-02,0.00,0.07,0.59,0.86,2.72,0.07,3.49,16.33,289.45,2.53
1971-01-03,0.01,0.01,-0.58,0.71,2.24,0.01,3.03,22.84,268.30,2.10
1971-01-04,0.00,0.10,-1.45,0.61,1.92,0.10,2.97,15.27,282.21,2.72
1971-01-05,0.00,0.10,-1.97,0.51,1.61,0.10,2.94,8.51,282.51,3.93
1971-01-06,4.36,0.97,3.43,0.82,2.60,1.25,3.31,8.62,305.19,6.14
1971-01-07,0.16,0.00,5.12,2.82,8.93,0.00,7.01,17.94,315.80,10.12
1971-01-08,0.00,0.68,8.89,1.37,4.33,0.68,5.96,20.69,324.50,7.42
1971-01-09,0.01,0.58,9.94,0.96,3.03,0.61,6.90,15.83,341.72,10.65
1971-01-10,0.00,1.47,10.70,0.70,2.22,1.47,5.39,27.25,316.74,7.02
1971-01-11,0.00,0.10,4.86,0.59,1.88,0.10,4.95,24.68,299.21,4.69
1971-01-12,0.00,0.13,1.98,0.48,1.51,0.13,3.56,16.02,300.62,1.66
1971-01-13,0.40,0.00,2.97,0.41,1.30,0.00,4.85,13.91,309.62,2.03
1971-01-14,8.43,0.00,4.00,0.92,2.91,0.00,5.16,16.78,314.03,2.68
1971-01-15,0.08,0.00,3.57,1.19,3.77,0.00,4.76,17.16,311.06,1.24
1971-01-16,0.09,0.10,2.61,0.85,2.71,0.11,3.94,24.54,290.78,2.46
1971-01-17,0.04,0.33,3.58,0.69,2.18,0.38,4.18,18.84,307.15,3.98
1971-01-18,1.20,0.35,4.56,0.62,1.96,0.58,4.82,18.32,314.98,8.23
1971-01-19,0.61,0.51,5.92,0.58,1.84,0.74,4.89,32.00,296.44,7.01
1971-01-20,7.55,0.37,4.32,0.53,1.66,0.51,4.24,30.54,291.25,4.35
1971-01-21,4.25,0.00,4.08,2.76,8.75,0.00,5.29,21.05,311.55,6.11
1971-01-22,4.35,0.01,4.27,1.64,5.19,0.01,4.80,11.73,314.80,1.66
1971-01-23,0.27,0.03,4.46,2.15,6.81,0.04,5.13,24.37,308.75,5.36
1971-01-24,1.45,0.52,5.06,1.31,4.14,0.80,4.73,33.30,295.91,8.73
1971-01-25,0.01,0.20,5.70,1.04,3.28,0.21,5.28,28.52,309.16,5.19
1971-01-26,2.64,0.22,3.77,0.82,2.59,0.28,4.31,24.59,305.22,2.79
1971-01-27,8.06,0.00,4.06,0.90,2.86,0.00,5.07,21.78,313.96,2.11
1971-01-28,10.79,0.06,4.35,4.79,15.16,0.09,5.06,22.33,314.98,3.52
1971-01-29,0.48,0.11,3.83,4.71,14.93,0.14,4.59,26.09,306.70,2.29
1971-01-30,1.92,0.16,1.95,2.12,6.73,0.24,4.06,25.49,299.00,3.89
1971-01-31,0.94,0.26,1.80,1.72,5.46,0.51,4.07,31.03,291.61,11.20
1971-02-01,0.06,0.85,1.34,1.24,3.92,0.96,2.92,28.26,289.21,5.69
1971-02-02,1.63,1.02,3.83,1.01,3.20,1.30,3.50,14.35,307.85,6.63
1971-02-03,0.02,0.00,5.67,0.91,2.88,0.00,6.57,47.19,301.55,8.02
1971-02-04,0.10,0.35,6.44,0.75,2.38,0.38,4.55,70.63,271.04,2.57
1971-02-05,0.00,0.09,3.86,0.65,2.07,0.09,4.58,28.72,309.40,1.09
1971-02-06,0.00,0.27,4.18,0.59,1.86,0.27,4.46,26.50,313.34,2.51
1971-02-07,0.03,0.37,6.15,0.52,1.64,0.41,5.21,36.41,313.99,4.15
1971-02-08,0.00,0.17,5.66,0.48,1.52,0.17,5.48,31.54,318.46,4.85
1971-02-09,0.00,0.39,5.85,0.44,1.38,0.39,5.12,33.57,316.98,4.29
1971-02-10,0.00,0.75,5.55,0.40,1.27,0.75,4.47,42.53,305.30,5.35
1971-02-11,1.39,0.52,5.02,0.36,1.13,0.70,4.63,45.22,302.24,4.97
1971-02-12,5.61,0.73,6.22,0.43,1.37,1.07,5.14,40.24,314.40,10.51
1971-02-13,1.20,1.04,4.34,0.69,2.18,1.41,4.08,56.19,288.77,10.60
1971-02-14,0.26,0.89,3.27,0.58,1.83,1.16,3.78,67.75,274.08,8.61
1971-02-15,0.14,0.56,2.41,0.54,1.71,0.67,3.66,64.65,274.45,4.55
1971-02-16,0.14,0.45,-0.34,0.40,1.28,0.51,2.85,86.98,242.55,3.05
1971-02-17,3.17,0.25,0.22,0.39,1.23,0.39,3.46,19.88,293.58,5.30
1971-02-18,0.45,0.07,2.41,0.45,1.43,0.13,4.59,46.35,297.24,3.41
1971-02-19,1.76,0.64,3.61,0.47,1.50,0.78,3.69,78.92,271.58,3.13
1971-02-20,0.29,0.00,5.37,0.54,1.70,0.20,6.04,60.48,304.12,6.42
1971-02-21,0.00,0.81,5.89,0.44,1.40,0.81,4.81,90.06,279.67,6.59
1971-02-22,0.00,0.94,5.38,0.35,1.12,0.94,4.15,83.09,280.90,4.71
1971-02-23,0.00,0.62,5.46,0.34,1.07,0.62,4.81,63.59,300.58,4.85
1971-02-24,0.00,0.58,6.67,0.33,1.03,0.58,5.26,59.64,310.78,3.75
1971-02-25,0.00,0.30,4.97,0.32,1.00,0.30,4.97,43.14,315.66,1.83
1971-02-26,0.00,0.19,4.16,0.30,0.95,0.19,4.52,29.61,313.44,1.36
1971-02-27,2.71,0.44,2.31,0.27,0.86,0.59,3.95,43.68,302.24,4.06
1971-02-28,0.41,0.31,1.23,0.26,0.83,0.38,3.87,47.42,295.80,3.94
1971-03-01,5.94,0.67,1.56,0.30,0.96,0.89,3.40,43.46,297.93,4.98
1971-03-02,0.45,0.86,2.80,0.58,1.85,1.12,3.81,121.36,257.41,5.79
1971-03-03,0.17,0.57,1.98,0.68,2.16,0.67,3.68,74.77,283.19,3.22
1971-03-04,1.61,0.49,-0.05,0.52,1.66,0.59,3.17,84.11,268.52,2.27
1971-03-05,2.98,0.11,0.99,0.59,1.87,0.15,3.99,31.54,298.88,2.82
1971-03-06,1.01,0.35,2.54,0.77,2.45,0.44,4.32,60.38,298.86,2.76
1971-03-07,1.43,0.35,3.78,0.70,2.20,0.47,4.38,28.38,311.43,3.71
1971-03-08,0.09,0.67,5.49,0.70,2.21,0.80,4.92,71.23,307.81,4.32
1971-03-09,0.07,0.89,5.84,0.58,1.82,1.03,4.94,86.25,301.75,6.87
1971-03-10,1.41,1.45,2.81,0.46,1.46,1.74,2.95,94.15,276.24,6.13
1971-03-11,0.30,0.66,4.43,0.41,1.30,0.80,4.41,54.99,312.35,3.83
1971-03-12,0.02,0.48,6.37,0.40,1.26,0.53,5.69,63.10,320.35,7.33
1971-03-13,0.72,1.09,7.01,0.37,1.16,1.32,5.07,96.11,304.80,5.09
1971-03-14,3.18,0.51,4.64,0.38,1.21,0.60,4.71,56.38,314.96,2.21
1971-03-15,0.16,0.70,3.84,0.42,1.33,0.80,4.38,78.14,300.46,4.58
1971-03-16,7.49,0.85,2.94,0.36,1.14,1.00,3.81,110.37,279.40,2.80
1971-03-17,7.72,0.84,2.92,1.23,3.88,0.98,3.89,115.43,278.32,2.71
1971-03-18,23.32,0.01,3.44,10.51,33.28,0.12,4.98,34.26,311.92,8.78
1971-03-19,15.41,0.11,4.59,11.60,36.75,0.18,5.29,34.81,317.40,5.65
1971-03-20,3.23,0.52,4.23,9.35,29.61,0.81,4.86,73.19,308.86,8.99
1971-03-21,0.21,1.05,4.43,3.39,10.73,1.35,4.46,119.95,287.91,9.61
1971-03-22,0.00,1.38,4.01,2.00,6.34,1.38,3.79,147.48,271.15,5.23
1971-03-23,2.79,1.02,4.95,1.48,4.69,1.28,4.30,62.70,315.90,5.67
1971-03-24,0.32,0.93,8.44,1.24,3.92,1.14,6.17,83.88,326.99,7.30
1971-03-25,1.05,1.43,6.13,0.98,3.11,1.74,4.67,135.25,291.53,7.38
1971-03-26,0.17,1.14,5.05,0.80,2.54,1.31,4.49,119.00,294.47,5.41
1971-03-27,1.00,1.40,5.02,0.67,2.14,1.59,4.15,161.28,275.56,3.41
1971-03-28,0.07,0.66,7.21,0.64,2.01,0.76,5.92,71.48,328.11,5.14
1971-03-29,1.50,0.75,8.58,0.56,1.77,0.97,5.97,40.38,335.90,5.52
1971-03-30,0.08,0.95,6.90,0.49,1.57,1.03,5.62,113.77,310.65,4.17
1971-03-31,0.01,0.84,4.29,0.43,1.37,0.85,4.30,80.58,309.14,2.91
1971-04-01,0.26,0.79,3.79,0.43,1.35,0.85,4.37,91.89,303.78,2.76
1971-04-02,0.22,0.88,4.73,0.39,1.23,1.02,4.71,98.14,306.93,4.69
1971-04-03,1.19,0.83,5.00,0.35,1.12,1.10,4.94,101.05,308.22,6.59
1971-04-04,2.71,0.60,4.68,0.35,1.12,0.82,5.00,75.18,316.57,5.59
1971-04-05,0.19,0.42,5.28,0.37,1.17,0.53,5.11,44.27,319.84,4.02
1971-04-06,0.04,0.76,6.06,0.35,1.10,0.80,5.49,88.48,319.68,1.88
1971-04-07,1.32,0.77,5.52,0.33,1.04,0.92,5.28,94.16,315.38,3.12
1971-04-08,0.02,1.07,6.40,0.32,1.02,1.09,5.36,122.72,310.00,3.02
1971-04-09,0.04,1.48,6.05,0.30,0.96,1.54,5.02,179.90,288.72,2.80
1971-04-10,0.00,1.25,6.21,0.26,0.81,1.25,5.27,149.32,301.19,2.66
1971-04-11,0.00,1.94,7.84,0.25,0.78,1.94,5.51,222.85,284.46,2.56
1971-04-12,0.00,1.38,7.15,0.23,0.73,1.38,5.70,166.61,301.89,3.03
1971-04-13,0.00,1.13,7.02,0.22,0.70,1.13,5.51,118.37,316.59,2.92
1971-04-14,0.00,1.67,6.42,0.21,0.67,1.67,4.99,191.43,289.47,2.35
1971-04-15,0.11,1.59,7.29,0.21,0.65,1.66,5.35,172.79,300.76,2.79
1971-04-16,1.76,1.63,7.20,0.23,0.72,1.92,5.24,167.23,302.27,7.07
1971-04-17,0.03,2.25,4.97,0.20,0.63,2.35,3.26,138.28,293.62,7.79
1971-04-18,0.00,2.26,8.38,0.18,0.56,2.26,5.07,176.18,304.09,9.59
1971-04-19,0.00,2.07,9.75,0.16,0.50,2.07,5.62,147.17,321.37,6.01
1971-04-20,0.00,2.07,8.50,0.15,0.47,2.07,4.94,179.11,304.15,3.25
1971-04-21,0.00,1.59,9.08,0.15,0.47,1.59,6.00,142.55,322.11,4.40
1971-04-22,4.37,1.69,9.06,0.15,0.47,1.90,5.77,140.63,322.39,4.40
1971-04-23,36.89,0.32,8.66,2.43,7.71,0.46,6.95,53.76,337.28,5.57
1971-04-24,1.04,0.94,6.79,5.42,17.18,1.24,5.67,106.69,323.26,7.91
1971-04-25,0.50,1.56,5.36,1.71,5.41,1.79,4.53,167.00,296.76,4.42
1971-04-26,0.01,1.70,4.46,1.02,3.22,1.72,4.04,182.52,286.97,4.40
1971-04-27,0.29,1.59,4.32,0.71,2.26,1.82,4.18,181.30,288.04,5.01
1971-04-28,0.46,2.00,5.36,0.53,1.69,2.21,4.08,198.20,286.68,5.18
1971-04-29,0.48,1.54,6.58,0.44,1.40,1.71,4.88,146.84,310.17,3.11
1971-04-30,0.12,1.24,6.60,0.40,1.26,1.29,5.38,130.23,316.87,3.09
1971-05-01,0.01,2.08,6.92,0.35,1.11,2.09,5.06,225.07,292.46,3.15
1971-05-02,0.00,2.39,7.49,0.32,1.01,2.39,5.25,262.49,285.95,3.45
1971-05-03,0.00,3.03,9.02,0.28,0.90,3.03,5.34,305.49,280.39,3.17
1971-05-04,0.00,3.03,9.30,0.25,0.78,3.03,5.27,292.18,285.02,3.21
1971-05-05,0.00,2.50,8.89,0.22,0.70,2.50,6.00,276.79,292.23,4.44
1971-05-06,8.18,2.03,10.65,0.23,0.73,2.25,6.60,174.78,327.29,4.96
1971-05-07,1.31,1.54,11.37,0.31,0.98,1.71,7.55,140.20,340.82,3.59
1971-05-08,0.01,2.22,12.21,0.23,0.74,2.24,7.38,188.81,332.64,3.93
1971-05-09,0.01,2.21,12.12,0.19,0.60,2.23,7.23,178.71,334.78,5.48
1971-05-10,0.00,2.49,14.41,0.17,0.55,2.49,8.41,185.60,345.28,6.69
1971-05-11,1.14,2.80,13.77,0.16,0.51,2.97,7.26,200.40,336.93,3.86
1971-05-12,0.00,2.68,11.56,0.16,0.51,2.68,7.05,249.37,315.74,3.77
1971-05-13,0.00,2.42,9.87,0.15,0.46,2.42,6.66,257.07,306.67,4.03
1971-05-14,0.06,2.85,9.34,0.14,0.45,2.91,5.54,271.44,296.73,3.63
1971-05-15,0.01,2.56,9.22,0.15,0.47,2.58,5.29,209.69,311.10,5.65
1971-05-16,0.84,2.24,8.20,0.15,0.49,2.51,5.51,230.57,303.35,6.00
1971-05-17,0.21,2.18,8.27,0.15,0.46,2.40,5.48,211.53,308.39,4.71
1971-05-18,0.00,3.21,10.31,0.12,0.39,3.21,5.54,278.80,299.74,5.24
1971-05-19,0.00,2.64,9.16,0.11,0.35,2.64,5.47,242.42,304.66,3.81
1971-05-20,0.00,2.07,10.47,0.11,0.34,2.07,6.64,185.17,327.70,3.26
1971-05-21,0.00,3.47,10.91,0.10,0.32,3.47,6.46,338.84,292.89,3.79
1971-05-22,6.27,2.45,10.21,0.10,0.33,2.67,6.54,241.81,313.69,4.70
