date,precipitation,pet,temperature,discharge_spec,discharge_vol,peti,humidity,shortwave_rad,longwave_rad,windspeed
1970-10-01,1.64,1.64,10.65,0.17,1.11,1.94,6.14,63.53,337.55,8.14
1970-10-02,0.16,1.85,8.51,0.16,1.09,2.05,5.17,116.13,293.68,10.72
1970-10-03,1.37,1.88,9.54,0.16,1.07,2.15,5.08,99.54,305.83,6.73
1970-10-04,4.31,0.09,11.10,0.16,1.05,0.32,8.61,51.13,346.60,6.96
1970-10-05,0.19,1.29,10.63,0.17,1.12,1.45,6.71,97.89,315.44,7.86
1970-10-06,3.90,1.66,8.37,0.21,1.40,1.99,5.16,95.38,301.18,9.38
1970-10-07,0.51,0.97,8.17,0.35,2.34,1.17,5.66,73.27,315.45,5.65
1970-10-08,0.08,0.80,8.08,0.29,1.92,0.86,5.74,92.84,302.22,3.58
1970-10-09,0.24,0.98,6.88,0.21,1.43,1.12,5.10,111.59,282.14,5.10
1970-10-10,0.28,0.94,9.55,0.19,1.26,0.99,6.16,105.77,298.78,3.75
1970-10-11,0.68,0.35,8.76,0.17,1.17,0.43,6.80,44.80,335.64,3.06
1970-10-12,0.11,0.31,11.39,0.18,1.20,0.33,8.41,59.91,338.45,2.63
1970-10-13,0.07,0.46,11.09,0.17,1.17,0.47,7.23,72.74,326.50,1.02
1970-10-14,0.01,0.29,9.26,0.17,1.12,0.30,7.10,49.41,333.34,1.85
1970-10-15,0.00,0.36,10.21,0.17,1.11,0.36,7.42,45.43,339.83,3.12
1970-10-16,0.00,0.62,9.96,0.16,1.08,0.62,6.53,83.80,309.34,2.55
1970-10-17,0.08,0.81,8.84,0.16,1.08,0.86,5.85,55.29,322.59,4.35
1970-10-18,2.59,1.45,10.07,0.16,1.06,1.78,6.06,33.13,342.03,9.99
1970-10-19,0.90,1.44,7.21,0.16,1.04,1.77,4.82,73.47,296.18,10.23
1970-10-20,0.14,1.40,4.14,0.17,1.13,1.49,3.71,59.55,289.50,11.02
1970-10-21,0.03,1.48,5.10,0.15,1.03,1.55,3.79,57.11,294.42,8.89
1970-10-22,0.08,0.53,7.51,0.15,1.00,0.58,5.71,53.12,314.27,4.26
1970-10-23,0.89,0.83,7.74,0.15,1.01,1.04,5.34,35.03,328.79,5.17
